#chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	blockCount	blockSizes	chromStarts	name2	_cdsStartStat	_cdsEndStat	_exonFrames	type	geneName	geneName2	geneType	description
chr4	10172762	10198443	XM_063964813.1	0	+	10189857	10195602	0	9	310,80,258,117,42,149,101,2211,3146,	0,17024,17876,18575,18961,19668,19936,20122,22535,	LOC135071066	cmpl	cmpl	-1,0,0,0,0,0,2,1,1,	protein_coding	135071066	XM_063964813.1	mRNA	PR domain zinc finger protein 1
chr4	10172762	10198443	XM_063964815.1	0	+	10189857	10195602	0	8	310,80,258,117,149,101,2211,3146,	0,17024,17876,18575,19668,19936,20122,22535,	LOC135071066	cmpl	cmpl	-1,0,0,0,0,2,1,1,	protein_coding	135071066	XM_063964815.1	mRNA	PR domain zinc finger protein 1
chr4	10184673	10198443	XM_063964814.1	0	+	10189857	10195602	0	9	130,80,258,117,42,149,101,2211,3146,	0,5113,5965,6664,7050,7757,8025,8211,10624,	LOC135071066	cmpl	cmpl	-1,0,0,0,0,0,2,1,1,	protein_coding	135071066	XM_063964814.1	mRNA	PR domain zinc finger protein 1
chr4	10200108	10219824	XM_063964816.1	0	-	10200226	10217005	0	8	315,168,86,221,132,1206,111,138,	0,8250,10356,11154,14457,15201,16786,19578,	LOC135071067	cmpl	cmpl	1,1,2,0,0,0,0,-1,	protein_coding	135071067	XM_063964816.1	mRNA	zinc finger protein 583-like
chr4	10231050	10232451	XM_063964818.1	0	-	10231140	10232169	0	2	1147,92,	0,1309,	LOC135071068	cmpl	cmpl	0,-1,	protein_coding	135071068	XM_063964818.1	mRNA	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like
chr4	10231050	10232540	XM_063964817.1	0	-	10231140	10232485	0	2	1147,177,	0,1313,	LOC135071068	cmpl	cmpl	2,0,	protein_coding	135071068	XM_063964817.1	mRNA	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like
chr4	10232638	10235430	XR_010257203.1	0	+	10235430	10235430	0	4	323,154,196,151,	0,509,2037,2641,	LOC135071069	none	none	-1,-1,-1,-1,	lncRNA	135071069	XR_010257203.1	lnc_RNA	uncharacterized LOC135071069
chr4	10246191	10247280	XM_063964823.1	0	+	10246313	10247212	0	4	156,102,137,212,	0,254,478,877,	LOC135071071	cmpl	cmpl	0,1,1,0,	protein_coding	135071071	XM_063964823.1	mRNA	transmembrane protein 242
chr4	10247209	10249034	XM_063964819.1	0	-	10247267	10248875	0	6	211,297,93,153,180,342,	0,290,702,963,1220,1483,	LOC135071070	cmpl	cmpl	0,0,0,0,0,0,	protein_coding	135071070	XM_063964819.1	mRNA	programmed cell death protein 2
chr4	10247209	10249055	XM_063964822.1	0	-	10247267	10248951	0	7	211,297,93,153,180,146,135,	0,290,702,963,1220,1483,1711,	LOC135071070	cmpl	cmpl	0,0,0,0,0,1,0,	protein_coding	135071070	XM_063964822.1	mRNA	programmed cell death protein 2
chr4	10247209	10249066	XM_063964821.1	0	-	10247267	10248875	0	7	211,297,93,153,180,185,51,	0,290,702,963,1220,1483,1806,	LOC135071070	cmpl	cmpl	0,0,0,0,0,0,-1,	protein_coding	135071070	XM_063964821.1	mRNA	programmed cell death protein 2
chr4	10250347	10265870	XM_063964824.1	0	-	10251338	10265867	0	24	1527,172,123,97,110,119,470,238,202,95,88,126,67,105,118,103,123,149,95,620,96,183,180,66,	0,1616,1877,2132,2487,2782,2977,3565,3884,4519,7626,8000,8204,8351,8606,8887,9127,9330,9582,10233,10932,12382,14424,15457,	LOC135071072	cmpl	cmpl	1,0,0,2,0,1,2,1,0,1,0,0,2,2,1,0,0,1,2,0,0,0,0,0,	protein_coding	135071072	XM_063964824.1	mRNA	uncharacterized LOC135071072
chr4	10250347	10265870	XM_063964825.1	0	-	10251338	10265867	0	24	1527,172,123,97,110,119,470,238,202,95,88,126,67,105,115,103,123,149,95,620,96,183,180,66,	0,1616,1877,2132,2487,2782,2977,3565,3884,4519,7626,8000,8204,8351,8606,8887,9127,9330,9582,10233,10932,12382,14424,15457,	LOC135071072	cmpl	cmpl	1,0,0,2,0,1,2,1,0,1,0,0,2,2,1,0,0,1,2,0,0,0,0,0,	protein_coding	135071072	XM_063964825.1	mRNA	uncharacterized LOC135071072
chr4	10263064	10280075	XR_010257204.1	0	+	10280075	10280075	0	2	35,2061,	0,14950,	LOC135071074	none	none	-1,-1,	lncRNA	135071074	XR_010257204.1	lnc_RNA	uncharacterized LOC135071074
chr4	10266622	10271916	XM_063965099.1	0	-	10266622	10271104	0	6	366,120,111,222,146,209,	0,1329,3233,3781,4350,5085,	LOC135071307	cmpl	cmpl	0,0,0,0,0,-1,	protein_coding	135071307	XM_063965099.1	mRNA	basic-leucine zipper transcription factor A-like
chr4	10272432	10276951	XM_063964826.1	0	+	10272642	10276870	0	10	235,130,91,150,144,140,78,208,114,264,	0,305,594,1092,1368,1684,2061,2222,3434,4255,	LOC135071073	cmpl	cmpl	0,1,2,0,0,0,2,2,0,0,	protein_coding	135071073	XM_063964826.1	mRNA	coiled-coil domain-containing protein 6
chr4	10285270	10291394	XM_063964827.1	0	-	10285359	10290548	0	3	2333,182,218,	0,5251,5906,	LOC135071075	cmpl	cmpl	0,0,-1,	protein_coding	135071075	XM_063964827.1	mRNA	uncharacterized LOC135071075
chr4	10293379	10317278	XM_063964828.1	0	+	10305115	10316056	0	8	231,162,121,144,277,117,340,1460,	0,11735,14703,15237,20990,21470,21926,22439,	LOC135071077	cmpl	cmpl	-1,0,2,0,0,1,1,2,	protein_coding	135071077	XM_063964828.1	mRNA	T-related protein
chr4	10321923	10323012	XM_063965155.1	0	-	10321923	10323012	0	1	1089,	0,	LOC135071366	cmpl	cmpl	0,	protein_coding	135071366	XM_063965155.1	mRNA	uncharacterized LOC135071366
chr4	10324890	10330217	XM_063965276.1	0	+	10325183	10330160	0	12	320,147,179,109,221,148,126,318,384,234,185,154,	0,425,653,1000,1285,1616,1980,2196,2606,3170,4092,5173,	LOC135071499	cmpl	cmpl	0,0,0,2,0,2,0,0,0,0,0,2,	protein_coding	135071499	XM_063965276.1	mRNA	origin recognition complex subunit 3
chr4	10332259	10333266	XM_063965157.1	0	+	10332259	10333266	0	2	49,638,	0,369,	LOC135071367	cmpl	cmpl	0,1,	protein_coding	135071367	XM_063965157.1	mRNA	uncharacterized LOC135071367
chr4	10336490	10337792	XM_063964829.1	0	+	10336591	10337516	0	3	110,128,475,	0,221,827,	LOC135071078	cmpl	cmpl	0,0,2,	protein_coding	135071078	XM_063964829.1	mRNA	larval cuticle protein 1-like
chr4	10343299	10355005	XM_063965158.1	0	+	10344441	10354797	0	8	75,266,91,76,308,155,121,394,	0,1142,2209,3627,5322,9814,10954,11312,	LOC135071368	cmpl	cmpl	-1,0,2,0,1,0,2,0,	protein_coding	135071368	XM_063965158.1	mRNA	uncharacterized LOC135071368
chr4	10361566	10362334	XM_063965277.1	0	+	10361621	10362220	0	2	67,489,	0,279,	LOC135071500	cmpl	cmpl	0,0,	protein_coding	135071500	XM_063965277.1	mRNA	endocuticle structural glycoprotein ABD-4-like
chr4	10365109	10365970	XM_063965279.1	0	+	10365193	10365762	0	2	96,589,	0,272,	LOC135071501	cmpl	cmpl	0,0,	protein_coding	135071501	XM_063965279.1	mRNA	endocuticle structural glycoprotein SgAbd-8-like
chr4	10368440	10370087	XM_063965280.1	0	+	10368531	10369951	0	5	103,251,76,87,244,	0,349,914,1119,1403,	LOC135071502	cmpl	cmpl	0,0,2,0,0,	protein_coding	135071502	XM_063965280.1	mRNA	larval cuticle protein LCP-14-like
chr4	10377755	10380308	XM_063965281.1	0	+	10377833	10380132	0	5	93,44,225,171,657,	0,294,530,1573,1896,	LOC135071503	cmpl	cmpl	0,0,2,2,2,	protein_coding	135071503	XM_063965281.1	mRNA	larval cuticle protein LCP-30-like
chr4	10382595	10386295	XM_063965282.1	0	+	10383008	10386181	0	4	195,110,524,271,	0,321,2575,3429,	LOC135071504	cmpl	cmpl	-1,0,0,2,	protein_coding	135071504	XM_063965282.1	mRNA	uncharacterized LOC135071504
chr4	10384745	10386295	XM_063965283.1	0	+	10385170	10386181	0	3	128,524,271,	0,425,1279,	LOC135071504	cmpl	cmpl	-1,0,2,	protein_coding	135071504	XM_063965283.1	mRNA	uncharacterized LOC135071504
chr4	10809448	10818039	XM_063964895.1	0	-	10809455	10817960	0	4	203,167,176,248,	0,487,7044,8343,	LOC135071125	cmpl	cmpl	2,0,1,0,	protein_coding	135071125	XM_063964895.1	mRNA	uncharacterized LOC135071125
chr4	10822191	10863300	XM_063964852.1	0	+	10828661	10859913	0	13	54,62,168,971,169,1228,134,151,130,167,120,71,4069,	0,6308,6460,6770,8244,28127,29601,30732,31511,34284,36637,36892,37040,	LOC135071095	cmpl	cmpl	-1,-1,0,2,1,2,0,2,0,1,0,0,2,	protein_coding	135071095	XM_063964852.1	mRNA	glutamate receptor ionotropic, NMDA 3A-like
chr4	10822191	10863300	XM_063964854.1	0	+	10828661	10859913	0	13	54,62,168,971,169,1228,134,151,130,167,120,68,4069,	0,6308,6460,6770,8244,28127,29601,30732,31511,34284,36637,36895,37040,	LOC135071095	cmpl	cmpl	-1,-1,0,2,1,2,0,2,0,1,0,0,2,	protein_coding	135071095	XM_063964854.1	mRNA	glutamate receptor ionotropic, NMDA 3A-like
chr4	10822347	10863300	XM_063964853.1	0	+	10828661	10859913	0	13	15,62,168,971,169,1228,134,151,130,167,120,71,4069,	0,6152,6304,6614,8088,27971,29445,30576,31355,34128,36481,36736,36884,	LOC135071095	cmpl	cmpl	-1,-1,0,2,1,2,0,2,0,1,0,0,2,	protein_coding	135071095	XM_063964853.1	mRNA	glutamate receptor ionotropic, NMDA 3A-like
chr4	10863921	10867175	XM_063965292.1	0	+	10863949	10866707	0	5	203,416,99,458,628,	0,851,1511,1813,2626,	LOC135071510	cmpl	cmpl	0,1,0,0,2,	protein_coding	135071510	XM_063965292.1	mRNA	multiple inositol polyphosphate phosphatase 1-like
chr4	10873876	10888842	XM_063964830.1	0	-	10876630	10888788	0	6	2901,172,119,118,107,102,	0,8277,11131,12930,14242,14864,	LOC135071079	cmpl	cmpl	0,2,0,2,0,0,	protein_coding	135071079	XM_063964830.1	mRNA	ras-related protein Rab-3
chr4	10873876	10890338	XM_063964833.1	0	-	10876630	10888225	0	6	2901,172,119,118,107,499,	0,8277,11131,12930,14242,15963,	LOC135071079	cmpl	cmpl	0,2,0,2,0,-1,	protein_coding	135071079	XM_063964833.1	mRNA	ras-related protein Rab-3
chr4	10873876	10897272	XM_063964831.1	0	-	10876630	10896877	0	7	2901,172,119,118,107,124,87,	0,8277,11131,12930,14242,22983,23309,	LOC135071079	cmpl	cmpl	0,2,0,2,0,0,-1,	protein_coding	135071079	XM_063964831.1	mRNA	ras-related protein Rab-3
chr4	10890582	10895735	XM_063965293.1	0	-	10890582	10895385	0	9	1166,67,233,394,431,57,69,153,630,	0,1339,1495,1883,2462,2970,3152,4088,4523,	LOC135071511	cmpl	cmpl	1,0,1,0,1,1,1,1,0,	protein_coding	135071511	XM_063965293.1	mRNA	uncharacterized LOC135071511
chr4	10898000	10901033	XR_010257205.1	0	+	10901033	10901033	0	7	293,211,189,248,172,97,112,	0,908,1198,1503,1835,2304,2921,	LOC135071080	none	none	-1,-1,-1,-1,-1,-1,-1,	lncRNA	135071080	XR_010257205.1	lnc_RNA	uncharacterized LOC135071080
chr4	10898677	10901033	XR_010257206.1	0	+	10901033	10901033	0	7	154,211,189,248,172,97,112,	0,231,521,826,1158,1627,2244,	LOC135071080	none	none	-1,-1,-1,-1,-1,-1,-1,	lncRNA	135071080	XR_010257206.1	lnc_RNA	uncharacterized LOC135071080
